A	gBand	rBand	iBand	zBand	JBand	HBand	KBand
1266	0.00000	0.00000	0.00000	0.00000	0.52950	0.00000	0.00000
1267	0.00000	0.00000	0.00000	0.00000	0.53060	0.00000	0.00000
1268	0.00000	0.00000	0.00000	0.00000	0.53120	0.00000	0.00000
1269	0.00000	0.00000	0.00000	0.00000	0.53190	0.00000	0.00010
1270	0.00000	0.00000	0.00000	0.00000	0.53290	0.00000	0.00010
1271	0.00000	0.00000	0.00000	0.00000	0.53280	0.00000	0.00010
1272	0.00000	0.00000	0.00000	0.00000	0.53270	0.00000	0.00010
1273	0.00000	0.00000	0.00000	0.00000	0.53280	0.00000	0.00010
1274	0.00000	0.00000	0.00000	0.00000	0.53300	0.00000	0.00010
1275	0.00000	0.00000	0.00000	0.00000	0.53330	0.00000	0.00010
1276	0.00000	0.00000	0.00000	0.00000	0.53370	0.00000	0.00000
1277	0.00000	0.00000	0.00000	0.00000	0.53430	0.00000	0.00000
1278	0.00000	0.00000	0.00000	0.00000	0.53460	0.00000	0.00000
1279	0.00000	0.00000	0.00000	0.00000	0.53490	0.00000	0.00000
1280	0.00000	0.00000	0.00000	0.00000	0.53500	0.00000	0.00010
1281	0.00000	0.00000	0.00000	0.00000	0.53500	0.00000	0.00020
1282	0.00000	0.00000	0.00000	0.00000	0.53530	0.00000	0.00020
1283	0.00000	0.00000	0.00000	0.00000	0.53550	0.00000	0.00020
1284	0.00000	0.00000	0.00000	0.00000	0.53590	0.00000	0.00010
1285	0.00000	0.00000	0.00000	0.00000	0.53630	0.00000	0.00000
1286	0.00000	0.00000	0.00000	0.00000	0.53650	0.00000	0.00000
1287	0.00000	0.00000	0.00000	0.00000	0.53660	0.00000	0.00000
1288	0.00000	0.00000	0.00000	0.00000	0.53670	0.00000	0.00010
1289	0.00000	0.00000	0.00000	0.00000	0.53680	0.00000	0.00000
1290	0.00000	0.00000	0.00000	0.00000	0.53670	0.00000	0.00010
1291	0.00000	0.00000	0.00000	0.00000	0.53680	0.00000	0.00010
1292	0.00000	0.00000	0.00000	0.00000	0.53690	0.00000	0.00010
1293	0.00000	0.00000	0.00000	0.00000	0.53660	0.00000	0.00010
1294	0.00000	0.00000	0.00000	0.00000	0.53610	0.00000	0.00010
1295	0.00000	0.00000	0.00000	0.00000	0.53620	0.00000	0.00010
1296	0.00000	0.00000	0.00000	0.00000	0.53590	0.00000	0.00010
1297	0.00000	0.00000	0.00000	0.00000	0.53590	0.00000	0.00010
1298	0.00000	0.00000	0.00000	0.00000	0.53560	0.00000	0.00000
1299	0.00000	0.00000	0.00000	0.00000	0.53560	0.00000	0.00000
1300	0.00000	0.00000	0.00000	0.00000	0.53520	0.00000	0.00000
1301	0.00000	0.00000	0.00000	0.00000	0.53470	0.00000	0.00010
1302	0.00000	0.00000	0.00000	0.00000	0.53440	0.00000	0.00000
1303	0.00000	0.00000	0.00000	0.00000	0.53370	0.00000	0.00000
1304	0.00000	0.00000	0.00000	0.00000	0.53280	0.00000	0.00010
1305	0.00000	0.00000	0.00000	0.00000	0.53230	0.00000	0.00010
1306	0.00000	0.00000	0.00000	0.00000	0.53210	0.00000	0.00010
1307	0.00000	0.00000	0.00000	0.00000	0.53170	0.00000	0.00010
1308	0.00000	0.00000	0.00000	0.00000	0.53160	0.00000	0.00010
1309	0.00000	0.00000	0.00000	0.00000	0.53140	0.00000	0.00010
1310	0.00000	0.00000	0.00000	0.00000	0.53120	0.00000	0.00010
1311	0.00000	0.00000	0.00000	0.00000	0.53100	0.00000	0.00010
1312	0.00000	0.00000	0.00000	0.00000	0.53110	0.00000	0.00010
1313	0.00000	0.00000	0.00000	0.00000	0.53100	0.00000	0.00010
1314	0.00000	0.00000	0.00000	0.00000	0.53110	0.00000	0.00010
1315	0.00000	0.00000	0.00000	0.00000	0.53120	0.00000	0.00010
1316	0.00000	0.00000	0.00000	0.00000	0.53160	0.00000	0.00020
1317	0.00000	0.00000	0.00000	0.00000	0.53170	0.00000	0.00020
1318	0.00000	0.00000	0.00000	0.00000	0.53210	0.00000	0.00020
1319	0.00000	0.00000	0.00000	0.00000	0.53270	0.00000	0.00020
1320	0.00000	0.00000	0.00000	0.00000	0.53320	0.00000	0.00020
1321	0.00000	0.00000	0.00000	0.00000	0.53370	0.00000	0.00020
1322	0.00000	0.00000	0.00000	0.00000	0.53440	0.00000	0.00020
1323	0.00000	0.00000	0.00000	0.00000	0.53520	0.00000	0.00020
1324	0.00000	0.00000	0.00000	0.00000	0.53590	0.00000	0.00010
1325	0.00000	0.00000	0.00000	0.00000	0.53640	0.00000	0.00010
1326	0.00000	0.00000	0.00000	0.00000	0.53680	0.00000	0.00010
1327	0.00000	0.00000	0.00000	0.00000	0.53710	0.00000	0.00010
1328	0.00000	0.00000	0.00000	0.00000	0.53730	0.00000	0.00010
1329	0.00000	0.00000	0.00000	0.00000	0.53720	0.00000	0.00010
1330	0.00000	0.00000	0.00000	0.00000	0.53710	0.00000	0.00010
1331	0.00000	0.00000	0.00000	0.00000	0.53660	0.00000	0.00010
1332	0.00000	0.00000	0.00000	0.00000	0.53610	0.00000	0.00010
1333	0.00000	0.00000	0.00000	0.00000	0.53500	0.00000	0.00010
1334	0.00000	0.00000	0.00000	0.00000	0.53280	0.00000	0.00020
1335	0.00000	0.00000	0.00000	0.00000	0.53070	0.00000	0.00020
1336	0.00000	0.00000	0.00000	0.00000	0.52780	0.00000	0.00010
1337	0.00000	0.00000	0.00000	0.00000	0.52360	0.00000	0.00010
1338	0.00000	0.00000	0.00000	0.00000	0.51850	0.00000	0.00010
1339	0.00000	0.00000	0.00000	0.00000	0.51260	0.00000	0.00010
1340	0.00000	0.00000	0.00000	0.00000	0.50560	0.00000	0.00010
1341	0.00000	0.00000	0.00000	0.00000	0.49740	0.00000	0.00010
1342	0.00000	0.00000	0.00000	0.00000	0.48810	0.00000	0.00010
1343	0.00000	0.00000	0.00000	0.00000	0.47750	0.00000	0.00010
1344	0.00000	0.00000	0.00000	0.00000	0.46600	0.00000	0.00010
1345	0.00000	0.00000	0.00000	0.00000	0.45340	0.00000	0.00010
1346	0.00000	0.00000	0.00000	0.00000	0.43950	0.00000	0.00010
1347	0.00000	0.00000	0.00000	0.00000	0.42460	0.00000	0.00010
1348	0.00000	0.00000	0.00000	0.00000	0.40850	0.00000	0.00010
1349	0.00000	0.00000	0.00000	0.00000	0.39170	0.00000	0.00000
1350	0.00000	0.00000	0.00000	0.00000	0.37430	0.00000	0.00000
1351	0.00000	0.00000	0.00000	0.00000	0.35550	0.00000	0.00000
1352	0.00000	0.00000	0.00000	0.00000	0.33700	0.00000	0.00010
1353	0.00000	0.00000	0.00000	0.00000	0.31900	0.00000	0.00020
1354	0.00000	0.00000	0.00000	0.00000	0.30070	0.00000	0.00020
1355	0.00000	0.00000	0.00000	0.00000	0.28260	0.00000	0.00010
1356	0.00000	0.00000	0.00000	0.00000	0.26560	0.00000	0.00000
1357	0.00000	0.00000	0.00000	0.00000	0.24800	0.00000	0.00000
1358	0.00000	0.00000	0.00000	0.00000	0.22970	0.00000	0.00000
1359	0.00000	0.00000	0.00000	0.00000	0.21320	0.00000	0.00010
1360	0.00000	0.00000	0.00000	0.00000	0.19820	0.00000	0.00020
1361	0.00000	0.00000	0.00000	0.00000	0.18370	0.00000	0.00020
1362	0.00000	0.00000	0.00000	0.00000	0.17030	0.00000	0.00020
1363	0.00000	0.00000	0.00000	0.00000	0.15770	0.00000	0.00020
