# Redshift  MKO->GROND  MMT->GROND  VISTA->GROND  SUBARU->GROND  UKIRT->GROND  FourStar->GROND  SOFI->GROND
8.01  -0.055079  -0.058946  -0.064469  -0.063159  -0.060034  -0.010215  0.108686
8.02  -0.060000  -0.063633  -0.069975  -0.068076  -0.064991  -0.012068  0.107570
8.03  -0.064988  -0.068388  -0.075510  -0.073084  -0.070046  -0.013610  0.106730
8.04  -0.069923  -0.073087  -0.080924  -0.078071  -0.074961  -0.014756  0.106208
8.05  -0.074746  -0.077707  -0.086163  -0.083005  -0.079763  -0.015450  0.105813
8.06  -0.079418  -0.082174  -0.091156  -0.087833  -0.084325  -0.015719  0.105501
8.07  -0.083844  -0.086436  -0.095836  -0.092485  -0.088644  -0.015473  0.105297
8.08  -0.088087  -0.090516  -0.100227  -0.096987  -0.092751  -0.014837  0.105178
8.09  -0.092004  -0.094347  -0.104244  -0.101233  -0.096487  -0.013762  0.105077
8.10  -0.095710  -0.097993  -0.107948  -0.105279  -0.100080  -0.012336  0.104848
8.11  -0.099194  -0.101502  -0.111397  -0.109162  -0.103410  -0.010655  0.104348
8.12  -0.102571  -0.104948  -0.114652  -0.112959  -0.106666  -0.008685  0.103638
8.13  -0.106017  -0.108558  -0.117945  -0.116916  -0.110056  -0.006658  0.102412
8.14  -0.109678  -0.112432  -0.121396  -0.121134  -0.113637  -0.004609  0.100605
8.15  -0.113691  -0.116726  -0.125199  -0.125772  -0.117681  -0.002617  0.097934
8.16  -0.118240  -0.121604  -0.129518  -0.131001  -0.122332  -0.000809  0.094226
8.17  -0.123267  -0.127014  -0.134304  -0.136758  -0.127474  0.001042  0.089677
8.18  -0.128745  -0.132908  -0.139530  -0.143008  -0.133087  0.003075  0.084438
8.19  -0.134488  -0.139120  -0.145043  -0.149572  -0.139097  0.005477  0.078585
8.20  -0.140189  -0.145310  -0.150493  -0.156078  -0.145073  0.008710  0.072327
8.21  -0.145624  -0.151256  -0.155682  -0.162299  -0.150792  0.012936  0.065871
8.22  -0.150609  -0.156749  -0.160400  -0.167974  -0.156039  0.018339  0.059550
8.23  -0.154971  -0.161570  -0.164469  -0.172943  -0.160637  0.025100  0.053690
8.24  -0.158630  -0.165671  -0.167842  -0.177140  -0.164554  0.032863  0.048350
8.25  -0.161605  -0.168990  -0.170451  -0.180568  -0.167653  0.041344  0.043565
8.26  -0.163778  -0.171480  -0.172265  -0.183201  -0.169976  0.050148  0.039276
8.27  -0.165188  -0.173170  -0.173296  -0.185083  -0.171511  0.058689  0.035465
8.28  -0.165857  -0.174088  -0.173582  -0.186264  -0.172250  0.066685  0.032204
